date,shot,fuel,oxidizer,diluent,t_0,u_t_0,p_0_nom,p_0,u_p_0,phi_nom,phi,u_phi,dil_mf_nom,dil_mf,u_dil_mf,wave_speed,u_wave_speed,t_ad,cj_speed,sound_speed
2020-03-22,11,C3H8,air,CO2,287.2796755629528,0.014176033119748832,101325.0,101427.8442715121,3.7884813803536566,1.0,0.9933777147920675,0.0015729237253158787,0.01,0.009998804134454736,6.220703579379174e-05,1792.9411764705883,2.1307577548759458,2237.81359686437,1785.0373296660123,985.0767660608533
2020-03-22,12,C3H8,air,CO2,287.1962550449265,0.01417784840518802,101325.0,101477.74469273826,3.7284572759515964,1.0,0.990033854248398,0.0016643948070552627,0.01,0.009797090334568053,6.471645378944921e-05,1783.9464882943143,2.1094325403797445,2236.271871374133,1784.3716166847794,984.7738897102672
2020-03-22,13,C3H8,air,CO2,287.1323065763003,0.014179240175626183,101325.0,101413.83899928881,3.7091438653709234,1.0,0.9916894413009061,0.0016682519093872525,0.01,0.009677017392109487,6.534272206056593e-05,1729.0113452188007,1.9815164456287622,2237.416958135661,1785.011305398457,985.0828892275459
2020-03-22,14,C3H8,air,CO2,286.99278373024293,0.013823175850110178,101325.0,101500.05718650564,3.740667631125722,1.0,0.9982392745745117,0.001626866404854197,0.01,0.009659285366253037,6.38286730068886e-05,1740.2936378466559,2.007460738299237,2240.9305931501876,1786.9214170960786,986.001089303543
2020-03-22,15,C3H8,air,CO2,286.9137352994304,0.014184002024534082,101325.0,101446.86908716222,3.8903946881428917,1.0,0.9903250823826164,0.0015933453728559487,0.01,0.010004033563822706,6.350453557888229e-05,1778.0,2.0953930949165533,2235.8994156108124,1784.186864475706,984.6452968205288
2020-03-22,16,C3H8,air,CO2,286.9657623402945,0.014182867923726547,101325.0,101424.15603983414,3.9127128535314255,1.0,0.9861635268973282,0.0015992308277927442,0.01,0.009779474108371012,6.317294270259021e-05,1775.0415973377703,2.088425874153061,2233.844283855427,1783.2782689125058,984.4031027775061
2020-03-22,17,C3H8,air,CO2,286.9263382862429,0.014183727515669481,101325.0,101357.8374717848,3.9742910511381697,1.0,0.9902598875392573,0.0015754088549167354,0.01,0.009720087302728385,6.3767855912181e-05,1763.3057851239669,2.0609016164741796,2236.397748301063,1784.5474131758597,984.8405454385562
2020-03-22,18,C3H8,air,N2,289.5021805394005,0.014353789811367606,101325.0,101467.93579339342,3.732839346952354,1.0,0.969203088785657,0.0015039687922058192,0.01,0.018059761072389525,5.766042209336112e-05,1798.9881956155143,2.145154725791786,2223.245833299829,1784.845857164554,986.481453584893
2020-03-22,19,C3H8,air,N2,289.4406025255464,0.01426500380458729,101325.0,101378.22578449282,3.7474659589747614,1.0,0.971427990701348,0.0014803992062707024,0.01,0.01772022460678111,5.712816782929455e-05,1792.9411764705883,2.1307577548759458,2225.2868833666203,1785.66272441987,986.8418487859121
2020-03-22,20,C3H8,air,N2,289.283056105211,0.014313284674891031,101325.0,101358.63004923034,3.73378514055961,1.0,0.9746023570798577,0.001548456437394111,0.01,0.01796752570586607,5.699814177863566e-05,1740.2936378466559,2.007460738299237,2227.326649877032,1786.56448640043,987.245692881169
